transactionHash,amount0,amount1,sqrtPriceX96,liquidity,tick,timestamp
45e22c88e3c1b232bb180e10ab03474fcf8f10bf0f3b931470a8e3d7f58cdf08,-3651912942396779,11983162,4537289566405385416847148,3295675097753821315,-195365,2025-01-12 16:49:59
708d7ab8b43208720b37c5ff0fbf0d26e14add50af128bf0c22a1659464eacca,-12514677821014016,41064903,4537290553113697658612279,3295675097753821315,-195365,2025-01-12 16:49:59
c0829bf071e562ba28184c0c3b1bd51fab35ec7a81c1ed2352bc771a9fdab6c6,-115806118821681366,380000000,4537299683761444170944277,3295675097753821315,-195365,2025-01-12 16:50:47
a0d92a10541e3430226808fd571d6f3cefde6e36d52989f8f4a2237a9d01226c,111779049447419315,-366419122,4537290875030945847237020,3295675097753821315,-195365,2025-01-12 16:52:23
01f381c57c80b49f63c6f7b9c4d9d7fb3769c965b281b7cb621789fcaccc0485,100000000000000000,-327805412,4537282994575581964635439,3295675097753821315,-195365,2025-01-12 16:52:23
0ba659f98595b43beaf45c5ccd7413058808138eae6793eac73bfa49280ee110,559440000000000000,-1833853596,4537238908661023577048663,3295675097753821315,-195366,2025-01-12 16:52:35
01db7fb54870c59deccf9dc9e3824211ce9c911c011765eb308ea3d68d5a9bc1,13393377116081922048,-43893075433,4536183717354078910673533,3295675097753821315,-195370,2025-01-12 16:53:59
ef52dd470d431b3a46cc982a4d047ea03783890e2190432ea0c1c29c80fffef5,4075585500153742447,-13352548892,4535862721539175115444666,3295675097753821315,-195372,2025-01-12 16:53:59
87afa32ff3b9eaec4e016df947739ae1eb1195c5cd374a6cddaf0013a0d515a7,-6173248306513455850,20245949987,4536349191638187598466816,3295675097753821315,-195370,2025-01-12 16:56:59
e48c3b9cbe95c2110eb12083c9150a7b4ab094d67f5253f6b076862b8c08775d,-6195110619925162637,20322016527,4536837489465556311180950,3295675097753821315,-195367,2025-01-12 16:58:23
fe000dd2e090562b268c0fec5f75b3b0c59025005d19245a85ed86fc3d2ba8be,-8883797231163384241,29149436210,4537537892713016220269955,3295675097753821315,-195364,2025-01-12 16:58:35
e9659d37a81abd2e1df2a7cf1cd0e9076ae12d368e6c9a70db3a8a61039444d8,1772026200000000000,-5809261583,4537398237829822150776907,3295675097753821315,-195365,2025-01-12 16:59:35
e50137419819d2c55afb74288c3bdcd52ca4bf048bbf1fc36349fdcd74785202,-132935302792620227,436227623,4537408719516035807074363,3295675097753821315,-195365,2025-01-12 16:59:47
5608ded689ccbb6b24cf95bbde43cc483d2df0e7e5e1ee24249a63a39850606d,-14961020331372619851,49107516777,4538588675930223031818196,3295675097753821315,-195360,2025-01-12 17:00:11
3e10273e4cd7b85655a765e27bd06f111b2d5956e95a5602ba858ed93429ec18,-293041959424291163,962125458,4538611793900334806033894,3295675097753821315,-195360,2025-01-12 17:00:47
6a6c27c364ba7e80d832e5b4a540809fe770be9f3ae87c5653ff52b252b8ff2a,-174067059955615748,571507609,4538625526096809660155861,3295675097753821315,-195360,2025-01-12 17:02:47
68867c49d9ab122c4fd8f80f7e1b683c10fcc68dde4c478dc99ef4051b46c950,182434082031249999,-598379811,4538611141021952436310406,3295675097753821315,-195360,2025-01-12 17:03:47
088ffa5f124acf370b3110bb343dfd9035bbf675bd9cdbb918075b92dbe66eca,-149077756283462765,489460847,4538622901797148226088469,3295675097753821315,-195360,2025-01-12 17:03:47
d7aa5f76484d690c710a1f9a708aa419123e4d1f1122a879a2cc7af5aaaba086,-4771930196246354188,15668821790,4538999392566533509316119,3295675097753821315,-195358,2025-01-12 17:03:59
aa4756e48dc95ad6acd5c158805f3af0f009c9c41576b9577dfcb72aa9017bd9,-4945829414018141731,16242570361,4539389669378261789147314,3295675097753821315,-195356,2025-01-12 17:04:11
8b1adbfaa683d7784118628948345491811431e8dd6213acb20ce0b1e4d88d48,9330000000000000000,-30607637016,4538653860547657068964483,3295675097753821315,-195359,2025-01-12 17:04:35
f54d5d69341b0bd2735b5964c0b282107d73b0bec9c9f7f5c59c9a804b601343,698757404543398137,-2291917111,4538598762767695387319191,3295675097753821315,-195360,2025-01-12 17:05:11
46debd39d0a96ded4c141564c444abe18d6a729be96ce948c6e58c1cd7315984,422970195420640025,-1387310861,4538565411758537840762964,3295675097753821315,-195360,2025-01-12 17:05:47
da88039e235b3a25666f87166a09ed173b21a1116577bf83e5e302227fb31141,-243664867442034130,800000000,4538584634174846287777697,3295675097753821315,-195360,2025-01-12 17:07:23
57a44bcd120184056ef2f4a4d31413d7efe9a73a7d8c84ca5d912c7b282d4bd6,22000000000000000,-72158421,4538582899483483945486330,3295675097753821315,-195360,2025-01-12 17:07:47
f83835cebc46c195bed45cafd4a0aebd74d36a2b0483de2c123a8cd046474909,-194797391559115465,639562788,4538598266911177286022710,3295675097753821315,-195360,2025-01-12 17:08:35
37d7f8af05a318854fe84cfa4963a3effdc5d161b1a159d3036bc9df3f081b88,10000000000000000,-32799486,4538597478410202225005744,3295675097753821315,-195360,2025-01-12 17:11:23
bb76a0b8788990d48920347e9393859436350a3ebcead3265c9e8ca1602d9347,-50081649762154295141,164572861460,4542551838480266353174161,3295675097753821315,-195342,2025-01-12 17:12:23
574ef584ac577101df54aafb2141e628b3fcf356b7bf18c6b36d37481345d883,455268138182575955,-1495847205,4542515878253002100747039,3295675097753821315,-195342,2025-01-12 17:13:11
2b78e365b5195a0530e6fe880a29de8db456810138ee92020e760b3f8df5ee75,-16020343857450890903,52704030936,4543782251782720639423822,3295675097753821315,-195337,2025-01-12 17:13:35
4002ced4d750c4115300d0bfeb0ecfc7261cede20d3a259bda58d93d854a99f4,375000000000000000,-1232784279,4543752615598821084239972,3295675097753821315,-195337,2025-01-12 17:15:23
3d58ed7e7d538c35e819fe61fcafa153d57c3207bbc70b247e2449d99b2d050c,-8017695302398721270,26387456822,4544386653949244494315520,3295675097753821315,-195334,2025-01-12 17:15:35
58bbe3cd3be8aad6d3ebfe02943a3570e59e3a3dfd8871896f6475c9b7ecc498,31000000000000000,-101937890,4544384203358238048311697,3295675097753821315,-195334,2025-01-12 17:17:23
2bb9f4188e0c7d61c95158eb31d91580aea63e7cd644f7015e96763228d93f57,-43597294739968903,143505316,4544387651506888110670776,3295675097753821315,-195334,2025-01-12 17:17:23
0d222e8e6663a4249862a5f79de29405723f1f16767274b5abfacdef3a5ff4dc,9771736913752529129,-32127158986,4543615313306725570361496,3295675097753821315,-195338,2025-01-12 17:18:23
9bc264280c7ff3357d9c28f62de0a22fd3ebfa48739eb6dfce40a73625f0948b,12170075100818255581,-39997061166,4542653782340172161062404,3295675097753821315,-195342,2025-01-12 17:18:47
776b0a10910700901478390d446c64d97bcd242c4d61d49a4d7357fa1d3bd3a5,5623473459500000000,-18475878263,4542209621480186751903502,3295675097753821315,-195344,2025-01-12 17:19:11
489357641fa1aed725490627f22f48e748a59fe1e401cbd8c9b3bec5db0966a4,4795485864874486011,-15752677513,4541830926476273269817059,3295675097753821315,-195345,2025-01-12 17:19:23
9d0bbb9381bb21e1385103a55835e5012eb56fbc98338d83d76087b65f4013ce,154236530980823148,-506607531,4541818747610758166669762,3295675097753821315,-195345,2025-01-12 17:19:35
804777fe78dbc4bd6c691906f0c727a1a7d33b468ccee64b8d317ec31727f7eb,37506916663851579537,-123115147546,4538859054489171125587197,3295675097753821315,-195358,2025-01-12 17:20:23
fb8c7ebda752977942d08120bc3a31526dc618c71e650aaf7a5badd66ba48bb7,13500000000000000,-44284392,4538857989890586539662582,3295675097753821315,-195359,2025-01-12 17:20:23
a97f274e0575e4c77da9c402931e29de234c78d9d59d1c5f1eed176b929dc91f,7485925888224201462,-24553073415,4538267733013581862889524,3295675097753821315,-195361,2025-01-12 17:20:23
fbfd7524febed1a48a098287b07150e28cb2ba35d14f6b0ebd2ecb8be283e551,-18223317592380933869,59841611730,4539705608480131750202757,3295675097753821315,-195355,2025-01-12 17:20:35
76e1977cbf4c614209e0823def39ce82bef5dd1d10dadc2a76ddc757238cf79d,4104101052908430702,-13466851943,4539381864815277766444547,3295675097753821315,-195356,2025-01-12 17:20:35
1d4928c998f30425254e52e92eef9766c655b95261a7a830c5c4e8ab105fe4ac,-10613326622820114975,34864475835,4540219589151370984205649,3295675097753821315,-195353,2025-01-12 17:20:47
bfa157077ddb31d422182507396675d72d1e7089f4773880fd4b610d6bb2418c,-913066920909623162,3000000000,4540291673212527660510899,3295675097753821315,-195352,2025-01-12 17:20:47
4919c4aa751089660975971fe6a4c266c6970f8ec32d0c66d1147aaf26cf487f,4796834299656356231,-15743803098,4539913191549895182373706,3295675097753821315,-195354,2025-01-12 17:20:59
ddf0b075716ce3b819d31a8095b5ffad3da0a4d574189312c07f5f715aff9d30,-6655642997472494804,21867211744,4540438617359452267357257,3295675097753821315,-195352,2025-01-12 17:21:11
d1c75e915c729429f53d0c24f7fe4edcae5043696523eedc0ef15d0574225553,-74715977387693760,245509159,4540444516458519451909245,3295675097753821315,-195352,2025-01-12 17:21:23
d1b03053b1d26c1389978d6a273357faa55f938059d4cf28a1ee9e8486831234,-6861520150093439554,22548982217,4540986323862881698365859,3295675097753821315,-195349,2025-01-12 17:21:35
cd92422a9ae3a7f6409c24872064afc664538552da12cd1d8e76646cf2af6978,12000000000000000,-39400812,4540985376665764557563099,3295675097753821315,-195349,2025-01-12 17:21:35
09b0b42d8e59c5bf811f6103a8f71b770d397c608aeb81b61621c250c699137b,-7348747011663776891,24156112572,4541565800231063261427244,3295675097753821315,-195347,2025-01-12 17:21:47
fefc46c771318f8d0bf901f8caa012114a253ad1da220475786fc203a92355f1,-912525702778782631,3000000000,4541637884292219937732494,3295675097753821315,-195346,2025-01-12 17:21:59
031f14708797b78b15db4649d29f423ea7080fc1d45be20d954f75f5e1ef77e8,-273752062317318875,900000000,4541659509510566940624069,3295675097753821315,-195346,2025-01-12 17:22:11
e53339857cf64e5710aa617f22eabaeb9bdd9c32afc8b4cd71b35a1abefa8b40,-267832249770909754,880546045,4541680667288863124633216,3295675097753821315,-195346,2025-01-12 17:23:47
9dc9b8413bedf08800f07b34cd2645585c08a7231429f2c460daa41da98c5338,4767176428084019080,-15656044759,4541304295340244101911818,3295675097753821315,-195348,2025-01-12 17:24:23
999f776ca97c1e292408cb8da34588d6f9917e868f568c1cbab63494da80082c,-912630798097388578,3000000000,4541376379401400778217068,3295675097753821315,-195347,2025-01-12 17:24:47
1dc77c6917d9f9ce0f40d876c59062e0c3b599acd439a11e5c3ef4ab657329ac,19502067183620130,-64044099,4541374839778654195544951,3295675097753821315,-195347,2025-01-12 17:25:23
92dd58726e5cbeae90aafc77916e1c54d06ae5495b3098f2d69fec9c11c6f4c4,1930000000000000000,-6337837040,4541222477920112907759802,3295675097753821315,-195348,2025-01-12 17:25:23
2e2084a3e04a827e3d38d396f94257c10c4ee153746a0057b6c5a89b7fd9523a,339300000000000000,-1114167501,4541195693288349559525775,3295675097753821315,-195348,2025-01-12 17:25:35
98a45dc63bca33fdad2e9cda1418ff118869eba909d1026a3ebf2b885df44f23,-912674449145479824,3000000000,4541267777349506235831025,3295675097753821315,-195348,2025-01-12 17:25:47
